0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:33:25 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/ HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:28 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:28 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/5ae93631-2efc-4780-9961-a77f1f57fdfb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:29 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=10 HTTP/1.1" 200 5693
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:29 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/ HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:51 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_list HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:52 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_view&productCode=10&searchField=&searchWord= HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:52 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/ HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:54 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_list HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:55 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_view&productCode=8&searchField=&searchWord= HTTP/1.1" 200 4335
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:55 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/ HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:57 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_list HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:59 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_view&productCode=10&searchField=&searchWord= HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:34:59 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/ HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:35:27 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_list HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:35:29 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_view&productCode=9&searchField=&searchWord= HTTP/1.1" 200 4297
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:35:30 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_list HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:49 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_list HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:50 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopProduct_view&productCode=10&searchField=&searchWord= HTTP/1.1" 200 4371
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:50 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/5ae93631-2efc-4780-9961-a77f1f57fdfb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:51 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:55 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:55 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:55 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:56 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:56 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=8 HTTP/1.1" 200 5738
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:57 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:36:59 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=7 HTTP/1.1" 200 5738
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:37:03 +0900] "POST /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_cartAdd HTTP/1.1" 500 2793
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:38:04 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:38:04 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/5ae93631-2efc-4780-9961-a77f1f57fdfb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:38:05 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=10 HTTP/1.1" 200 5733
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:38:07 +0900] "POST /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_cartAdd HTTP/1.1" 500 2827
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:38:15 +0900] "POST /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_cartAdd HTTP/1.1" 500 2827
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:41:06 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:41:06 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/5ae93631-2efc-4780-9961-a77f1f57fdfb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:41:06 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=10 HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:41:09 +0900] "POST /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_cartAdd HTTP/1.1" 200 3274
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:41:10 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=10 HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:44:02 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:44:02 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/5ae93631-2efc-4780-9961-a77f1f57fdfb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:44:03 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=10 HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:44:06 +0900] "POST /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_cartAdd HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:44:08 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=10 HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:44:14 +0900] "POST /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_cartAdd HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:44:16 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=10 HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:44:17 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
